Total cpus available: 10
RUNNING EXPERIMENT 15
This is not a test
Prediction Type: block
{'size': 'publish', 'verbose': False, 'obs_freqs': [20, 30, 40, 50, 350, 360, 370, 380], 'target_freqs': [60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300, 310, 320, 330, 340], 'prediction_type': 'block'}
Train shape: (1576, 8)
Test shape: (1577, 8)
exponentialrc cv set, ready to train
Model initialization and exploration run...
Starting optimization... 

Hayden edit: space: <GPyOpt.core.task.space.Design_space object at 0x2aebb94d3550>
Hayden edit: fixed_parameters: ['n_nodes']
Hayden edit: free_parameters: ['noise', 'llambda', 'connectivity', 'spectral_radius', 'regularization', 'leaking_rate']
Score: 0.03813494692526903
Score: 0.01959808337151872
Score: 0.011695589216079667
Score: 0.01867035686549501
Score: 0.010075628722331314
Score: 0.010655869800177768
Score: 0.05586611410451335
Score: 0.06509808594435959
Score: 0.15423832970959028
Score: 0.03647055195228193
Score: 0.0637720058072952
Score: 0.17188348391149783
Score: 0.027080500036343467
Score: 0.2668528695041147
Score: 0.04718637241016387
Score: 0.06306772934722381
Score: 0.094591318013983
Score: 0.021868033902281876
Score: 0.04349104732348421
Score: 0.21404513114759433
Score: 0.036037942080537955
Score: 0.05079611764326898
Score: 0.05362358607347573
Score: 0.013305115909024475
Score: 0.08508180075391895
Score: 0.2633822480732374
Score: 0.05193865371439544
Score: 0.10047006139887227
Score: 0.022374090786783526
Score: 0.03711166606928208
Score: 0.03989347353419329
Score: 0.03632256933395904
Score: 0.0658630027479334
Score: 0.0480582162210691
Score: 0.04875850226959178
Score: 0.047938648961787005
Score: 0.057074012886236904
Score: 0.026481485794609006
Score: 0.044309338642496046
Score: 0.026214139008174386
Score: 0.0309962151162296
Score: 0.05179555530084154
Score: 0.27225708712667607
Score: 0.05988386493860171
Score: 0.04291337128355225
Score: 0.013225844585434111
Score: 0.020599272466029803
Score: 0.2683333885261457
Score: 0.011309606628086383
Score: 0.03689906007295498
Score: 0.02670138566690792
Score: 0.010298897712331117
Score: 0.02408417888910508
Score: 0.012196906579948047
Score: 0.02182069622481879
Score: 0.01280257073815466
Score: 0.04429545882437773
Score: 0.17483474154784295
Score: 0.0103293428733664
Score: 0.012283156506292728
Score: 0.032946488290781756
Score: 0.01876877531824728
Score: 0.029929021875544946
Score: 0.015744818993481787
Score: 0.028689456698190133
Score: 0.01930896431901669
Score: 0.023026041605046177
Score: 0.025010019313652317
Score: 0.06656281175091958
Score: 0.050917683170373935
Score: 0.03493935136614933
Score: 0.034540865946687316
Score: 0.24213033865489791
Score: 0.051053989297361095
Score: 0.012488449817227413
Score: 0.010785162434940878
Score: 0.09723134066855721
Score: 0.03835182788380776
Score: 0.2136199122016626
Score: 0.103385961950774
Score: 0.02066389574367852
Score: 0.016551317016286402
Score: 0.026143392545083997
Score: 0.19621436741788095
Score: 0.016186557637152623
Score: 0.014508195447800163
Score: 0.012985554122988859
Score: 0.018166161489308125
Score: 0.05179560187732771
Score: 0.027223119636528813
Score: 0.021390225510851523
Score: 0.013635250157402022
Score: 0.11522919222630765
Score: 0.04838927313077861
Score: 0.09159450251873036
Score: 0.014694257758822517
Score: 0.01581108353861926
Score: 0.03142198637376118
Score: 0.015470178491597097
Score: 0.016579119035237396
Score: 0.01574060555462228
Score: 0.043427516863499084
Score: 0.022810247457404332
Score: 0.05848473217274764
Score: 0.014743888712079732
Score: 0.06807857531999535
Score: 0.061620039137642094
Score: 0.053810447886573354
Score: 0.042210155850455795
Score: 0.03288482982473951
